Inline No.,Hangingwall,Footwall,Throw
8362,3114.71,3116.93,2.22
8363,3114,3118.13,4.13
8364,3113.78,3119.06,5.28
8365,3113.85,3121.05,7.2
8366,3117.75,3123.03,5.28
8367,3118.98,3123.87,4.89
8368,3117.61,3125.01,7.4
8369,3119.53,3123.68,4.15
8370,3118.98,3124.81,5.83
8371,3116.97,3125.19,8.22
8372,3113.54,3120.96,7.42
8373,3108,3119.35,11.35
8374,3096.34,3117.44,21.1
8375,3098.32,3117.44,19.12
8376,3096.41,3117.36,20.95
8377,3096.1,3116.75,20.65
8378,3093.25,3116.53,23.28
8379,3092.16,3122.36,30.2
8380,3089.96,3122.65,32.69
8381,3085.08,3122.84,37.76
8382,3084.51,3124.37,39.86
8383,3083.55,3124.09,40.54
8384,3080.92,3114.38,33.46
8385,3101.77,3124.59,22.82
8386,3100.82,3124.83,24.01
8387,3100.09,3124.36,24.27
8388,3098.43,3123.4,24.97
8389,3096.03,3121.73,25.7
8390,3094.84,3116.94,22.1
8391,3092.69,3114.92,22.23
8392,3088.86,3115.75,26.89
8393,3088.74,3115.28,26.54
8394,3085.4,3113.72,28.32
8395,3083.97,3113.36,29.39
8396,3082.89,3113.6,30.71
8397,3081.58,3113.12,31.54
8398,3078.47,3109.3,30.83
8399,3076.61,3108.94,32.33
8400,3076.44,3108.58,32.14
8401,3075.13,3108.46,33.33
8402,3074.77,3108.58,33.81
8403,3074.19,3108.58,34.39
8404,3072.11,3107.51,35.4
8405,3070.46,3107.03,36.57
8406,3069.99,3117.51,47.52
8407,3068.67,3119.6,50.93
8408,3066.13,3116.35,50.22
8409,3067.17,3121.39,54.22
8410,3063.88,3121.7,57.82
8411,3061.8,3121.24,59.44
8412,3060.33,3121.74,61.41
8413,3058.2,3121.89,63.69
8414,3055.1,3121.77,66.67
8415,3054.02,3121.42,67.4
8416,3053.57,3120.13,66.56
8417,3052.49,3118.22,65.73
8418,3052.98,3117.74,64.76
8419,3054.2,3116.93,62.73
8420,3054.56,3119.21,64.65
8421,3055.15,3122.07,66.92
8422,3056.47,3125.3,68.83
8423,3058.5,3124.7,66.2
8424,3058.38,3125.06,66.68
8425,3059.22,3125.54,66.32
8426,3061.02,3126.62,65.6
8427,3063.05,3128.4,65.35
8428,3065.2,3129.96,64.76
8429,3066.46,3130.15,63.69
8430,3067.54,3131.82,64.28
8431,3067.42,3131.47,64.05
8432,3068.61,3130.99,62.38
8433,3069.33,3131.94,62.61
8434,3072.2,3131.59,59.39
8435,3073.99,3131.82,57.83
8436,3075.9,3132.78,56.88
8437,3077.34,3130.87,53.53
8438,3078.65,3127.65,49
8439,3080.56,3127.04,46.48
8440,3081.16,3127.4,46.24
8441,3079.61,3124.29,44.68
8442,3079.01,3125.61,46.6
8443,3077.22,3124.9,47.68
8444,3077.57,3125.97,48.4
8445,3078.29,3127.16,48.87
8446,3075.3,3126.45,51.15
8447,3075.78,3125.14,49.36
8448,3075.9,3124.9,49
8449,3076.26,3126.57,50.31
8450,3076.62,3123.1,46.48
8451,3076.9,3122.8,45.9
8452,3076.9,3121.74,44.84
8453,3077.86,3121.55,43.69
8454,3079.29,3119.06,39.77
8455,3080.15,3113.7,33.55
8456,3081.16,3113.43,32.27
8457,3081.99,3114.3,32.31
8458,3082.03,3110.86,28.83
8459,3080.84,3130.88,50.04
8460,3083.08,3132.82,49.74
8461,3084.43,3131.33,46.9
8462,3085.17,3127.89,42.72
8463,3084.72,3126.09,41.37
8464,3083.67,3125.5,41.83
8465,3082.18,3126.69,44.51
8466,3081.44,3123.71,42.27
8467,3081.44,3123.55,42.11
8468,3081.29,3123.1,41.81
8469,3080.34,3123.32,42.98
8470,3079.13,3122.73,43.6
8471,3079.9,3122.25,42.35
8472,3080.38,3119.48,39.1
8473,3081.71,3118.23,36.52
8474,3081.09,3118.33,37.24
8475,3083.08,3117.26,34.18
8476,3081.47,3117.8,36.33
8477,3081.4,3118.23,36.83
8478,3083.99,3117.65,33.66
8479,3084.99,3116.27,31.28
8480,3086.29,3114.2,27.91
8481,3088.58,3114.2,25.62
8482,3089.5,3115.8,26.3
8483,3090.95,3117.34,26.39
8484,3093.32,3114.05,20.73
8485,3093.45,3114.19,20.74
8486,3095.41,3112.26,16.85
8487,3097.2,3110.02,12.82
8488,3099.56,3104,4.44
