Xline,Footwall,Hanging wall,Throw
12.5,0,0,0
25,-2671.3,-2829.07,175.992435
37,-2699.55,-2898.1,221.482525
49,-2707.61,-2911.55,227.49507
61,-2741.02,-2929.11,209.814395
73,-2723.5,-2911.49,209.702845
85,-2746.28,-2903.45,175.323135
97,-2757.47,-2906.9,166.689165
109,-2757.92,-2921.34,182.29501
121,-2739.17,-2897.39,176.49441
133,-2745.79,-2924.14,198.949425
145,-2737.5,-2897.39,178.357295
157,-2714.04,-2919.4,229.07908
169,-2718.04,-2902.97,206.289415
181,-2715.88,-2895.24,200.07608
193,-2724.84,-2926.08,224.48322
205,-2731.15,-2899.84,188.173695
217,-2736.4,-2878.6,158.6241
229,-2752.24,-2884.64,147.6922
241,-2744.3,-2889.53,162.004065
253,-2791.31,-2874.77,93.09963
265,-2777.79,-2889.1,124.166305
277,-2779.84,-2903.45,137.886955
289,-2826.77,-2897.6,79.010865
301,-2793.33,-2910.09,130.24578
313,-2767.37,-2904.97,153.4928
325,-2759.07,-2899.15,156.25924
337,-2764.78,-2912.01,164.235065
349,-2764.33,-2900.9,152.343835
361,-2761.43,-2929.26,187.214365
373,-2770.14,-2948.88,199.38447
385,-2772.71,-2943.44,190.449315
397,-2774.14,-2943.82,189.27804
409,-2780.74,-2948.22,186.82394
421,-2789.45,-2951.54,180.811395
433,-2792.77,-2948.74,173.984535
445,-2795.07,-2948.44,171.084235
457,-2809.18,-2953.33,160.799325
469,-2799.48,-2942.76,159.82884
481,-2815.25,-2941.25,140.553
493,-2817.84,-2912.58,105.68247
505,-2774.89,-2925.47,167.97199
517,-2795.61,-2938.33,159.20416
529,-2772.74,-2947.64,195.10095
541,-2770.67,-2963.24,214.811835
553,-2836.52,-2949.53,126.062655
565,-2838.29,-2953.66,128.695235
577,-2840.6,-2960.75,134.027325
589,-2846.89,-2961.73,128.10402
601,-2875.51,-2972.17,107.82423
613,-2882.69,-2970.87,98.36479
625,-2853.17,-2965.15,124.91369
637,-2885.48,-2935.4,55.68576
649,-2862.38,-2932.08,77.75035
661,-2843.34,-2916.73,81.866545
673,-2827.85,-2915.52,97.795885
685,-2801.27,-2920.2,132.666415
697,-2815.08,-2917.96,114.76264
709,-2758.02,-2900.18,158.57948
721,-2732.71,-2892.07,177.76608
733,-2764.46,-2896.98,147.82606
745,-2740.05,-2901.36,179.941305
757,-2749.38,-2910.61,179.852065
769,-2757.63,-2935.89,198.84903
781,-2772.63,-2948.06,195.692165
793,-2768.52,-2944.83,196.673805
805,-2741.84,-2945.72,227.42814
817,-2746.22,-2955.08,232.98333
829,-2735.24,-2971.01,263.001435
841,-2745.7,-2972.58,253.08464
853,-2745.71,-2972.6,253.095795
865,-2743.81,-2977.83,261.04931
877,-2740.99,-2952.45,235.88363
889,-2732.79,-2949,241.182255
901,-2726.06,-2947.89,247.451365
913,-2722.68,-2947.67,250.976345
925,-2714.04,-2939.27,251.244065
937,-2703.65,-2924.15,245.96775
949,-2691.05,-2914.09,248.80112
961,-2683.99,-2891.67,231.66704
973,-2690.13,-2718.22,31.334395
985,-2687.76,-2726.47,43.181005
997,-2684.98,-2727.69,47.643005
1009,-2676.83,-2711.54,38.719005
1021,-2659.54,-2706.22,52.07154
1033,-2655.95,-2709.21,59.41153
1045,-2656.86,-2695.31,42.890975
1057,-2662.85,-2934.95,303.52755
1069,-2676.68,-2923.1,274.88151
1081,-2679.4,-2974.01,328.637455
1093,-2677.84,-2920.75,270.966105
1105,-2672.75,-2941.46,299.746005
1117,-2681.68,-2959.94,310.39903
1129,-2679.14,-3017.17,377.072465
1141,-2676.84,-3007.33,368.661595
1153,-2684.97,-2925.91,268.76857
1165,-2687.44,-2964.41,308.960035
1177,-2695.98,-2954.49,288.367905
1189,-2692.93,-2969.98,309.049275
1201,-2682.38,-2949.09,297.515005
1213,-2677.08,-2956.67,311.882645
1225,-2674.27,-2936.36,292.361395
1237,-2669.77,-2948.39,310.80061
1249,-2655.93,-2926.32,301.620045
1261,-2647.43,-2905.32,287.676295
1273,-2639.03,-2918.1,311.302585
1285,-2638.99,-2935.53,330.79037
1297,-2645.33,-2938.79,327.35463
1309,-2632.71,-2931.79,333.62374
1321,-2616.36,-2923.62,342.74853
1333,-2603.72,-2860.01,285.891495
1345,-2604.37,-2853.95,278.40649
1357,-2611.95,-2842.21,256.85503
1369,-2601.24,-2812.55,235.716305
1381,-2589.28,-2803.96,239.47554
1393,-2591.01,-2722.04,146.163965
1405,-2593.68,-2711.3,131.20511
1417,-2591.56,-2710.96,133.1907
1429,-2580.84,-2683.67,114.706865
1441,-2588.83,-2657.56,76.668315
1453,-2589.44,-2655.77,73.991115
1465,-2587.07,-2650.73,71.01273
1477,-2586.62,-2642.06,61.84332
1489,-2584.84,-2713.95,144.022205
1501,-2580.48,-2732.43,169.500225
1513,-2579.5,-2725.84,163.24227
1525,-2580.19,-2718.41,154.18441
1537,-2576.49,-2711.53,150.63712
1549,-2577.78,-2707.73,144.959225
1561,-2577.65,-2716.89,155.32222
1573,-2577.5,-2715.12,153.51511
1585,-2585.19,-2702.76,131.149335
1597,-2597.78,-2703.31,117.718715
1609,-2605.07,-2722.98,131.528605
1621,-2612.78,-2724.89,125.058705
1633,-2610.66,-2725.51,128.115175
1645,-2606.89,-2713.44,118.856525
1657,-2622.65,-2735.79,126.20767
1669,-2631.58,-2737.03,117.629475
1681,-2624.8,-2720.18,106.39639
1693,-2621.64,-2727.69,118.298775
1705,-2636.11,-2724.24,98.309015
1717,-2626.79,-2720.78,104.845845
1729,-2624.52,-2715.71,101.722445
1741,-2622.99,-2727.83,116.94902
1753,-2614.19,-2730.26,129.476085
1765,-2636.77,-2758.21,135.46632
1777,-2636.84,-2791.51,172.534385
1789,-2633.12,-2771.09,153.905535
1801,-2627.13,-2754,141.523485
1813,-2623.45,-2768.19,161.45747
1825,-2627.22,-2759.28,147.31293
1837,-2629.73,-2734.74,117.138655
1849,-2646.55,-2738.11,102.13518
1861,-2648.15,-2722.95,83.4394
1873,-2648.97,-2779.63,145.75123
1885,-2658.97,-2768.39,122.05801
1897,-2658,-2738.28,89.55234
1909,-2645.23,-2735.43,100.6181
1921,-2675.13,-2742.83,75.51935
1933,-2672.84,-2746.01,81.621135
1945,-2690.5,-2800.87,123.117735
1957,-2711.97,-2825.59,126.74311
1969,-2726.91,-2862.2,150.915995
1981,-2726.74,-2821.75,105.983655
1993,-2745.87,-2820.04,82.736635
2005,-2759.86,-2840.36,89.79775
2017,-2759.91,-2841.17,90.64553
2029,-2767.78,-2840.94,81.60998
2041,-2794.29,-2869.94,84.387575
2053,-2790.31,-2865.45,83.81867
2065,-2799.04,-2852.96,60.14776
2077,,,0
2089,,,0
2101,,,0
2113,,,0
2125,,,0
2137,,,0
2149,,,0
2161,,,0
2173,,,0
2185,,,0
